date,hour_pst,queries,slot_hours_in_hour,avg_concurrent_slots,max_queue_sec
2025-11-17,21,141,385.94957305555556,385.9,0
2025-11-19,21,62,228.04875694444445,228.0,0
2025-11-21,21,82,227.16269583333334,227.2,0
2025-11-18,21,63,226.5524311111111,226.6,0
2025-11-20,21,62,205.43149861111112,205.4,0
2025-11-22,21,119,198.11176833333334,198.1,0
2025-11-23,21,102,186.14932833333333,186.1,0
2025-11-19,2,311,142.00612527777778,142.0,1
2025-11-18,2,187,92.68351138888889,92.7,2
2025-11-19,4,379,80.00508888888889,80.0,1
2025-11-20,2,194,59.38473361111111,59.4,0
2025-11-18,11,1030,57.17836833333333,57.2,20
2025-11-18,3,325,57.18685861111111,57.2,0
2025-11-18,13,1330,56.685340833333335,56.7,18
2025-11-19,22,289,56.06592888888889,56.1,0
2025-11-17,13,1334,55.64174277777778,55.6,0
2025-11-18,15,976,55.454145,55.5,0
2025-11-17,19,460,52.08070722222222,52.1,0
2025-11-18,12,922,51.13033166666666,51.1,7
2025-11-17,18,555,50.16337055555555,50.2,0
