order_date,row_count,retailers,skus,pct_of_total,cumulative_pct,min_order_timestamp,max_order_timestamp
2025-11-20,564249,189,107424,13.41,13.41,2025-11-20 00:00:00,2025-11-20 22:59:57
2025-11-19,1116130,187,248572,26.52,39.93,2025-11-19 00:00:00,2025-11-19 23:59:59
2025-11-18,801299,188,136927,19.04,58.98,2025-11-18 00:00:00,2025-11-18 23:59:59
2025-11-17,301676,184,72022,7.17,66.15,2025-11-17 00:00:00,2025-11-17 23:59:59
2025-11-16,373623,175,64201,8.88,75.02,2025-11-16 00:00:00,2025-11-16 23:59:59
2025-11-15,160089,174,55748,3.8,78.83,2025-11-15 00:00:00,2025-11-15 23:59:59
2025-11-14,133868,170,45947,3.18,82.01,2025-11-14 00:00:00,2025-11-14 23:59:59
2025-11-13,95593,165,33919,2.27,84.28,2025-11-13 00:00:03,2025-11-13 23:59:58
2025-11-12,55404,162,22689,1.32,85.6,2025-11-12 00:00:12,2025-11-12 23:59:59
2025-11-11,32512,154,17993,0.77,86.37,2025-11-11 00:00:04,2025-11-11 23:59:58
2025-11-10,22330,150,13203,0.53,86.9,2025-11-10 00:00:11,2025-11-10 23:59:56
2025-11-09,17720,141,11185,0.42,87.32,2025-11-09 00:00:27,2025-11-09 23:59:53
2025-11-08,14538,140,9649,0.35,87.67,2025-11-08 00:00:05,2025-11-08 23:59:39
2025-11-07,12223,147,8111,0.29,87.96,2025-11-07 00:00:00,2025-11-07 23:59:48
2025-11-06,11075,136,6853,0.26,88.22,2025-11-06 00:01:17,2025-11-06 23:59:56
2025-11-05,7484,136,6080,0.18,88.4,2025-11-05 00:01:10,2025-11-05 23:59:21
2025-11-04,6394,129,5279,0.15,88.55,2025-11-04 00:00:31,2025-11-04 23:59:44
2025-11-03,5926,135,4659,0.14,88.69,2025-11-03 00:01:50,2025-11-03 23:59:40
2025-11-02,6375,124,4772,0.15,88.84,2025-11-02 00:00:59,2025-11-02 23:59:47
2025-11-01,5589,126,4474,0.13,88.98,2025-11-01 00:00:29,2025-11-01 23:58:36
2025-10-31,7376,119,5320,0.18,89.15,2025-10-31 00:00:00,2025-10-31 23:59:42
2025-10-30,8691,126,5241,0.21,89.36,2025-10-30 00:00:25,2025-10-30 23:59:57
2025-10-29,8281,114,4346,0.2,89.56,2025-10-29 00:00:34,2025-10-29 23:59:22
2025-10-28,4512,116,3494,0.11,89.66,2025-10-28 00:00:31,2025-10-28 23:59:39
2025-10-27,21090,114,9389,0.5,90.16,2025-10-27 00:00:29,2025-10-27 23:59:54
2025-10-26,3909,102,3064,0.09,90.26,2025-10-26 00:01:56,2025-10-26 23:59:41
2025-10-25,3584,100,2810,0.09,90.34,2025-10-25 00:00:15,2025-10-25 23:59:14
2025-10-24,3951,112,2709,0.09,90.44,2025-10-24 00:00:11,2025-10-24 23:59:24
2025-10-23,8330,121,4615,0.2,90.63,2025-10-23 00:00:45,2025-10-23 23:59:02
2025-10-22,4731,116,3744,0.11,90.75,2025-10-22 00:01:12,2025-10-22 23:59:45
2025-10-21,5290,125,4019,0.13,90.87,2025-10-21 00:00:29,2025-10-21 23:59:28
2025-10-20,3717,115,2985,0.09,90.96,2025-10-20 00:00:07,2025-10-20 23:59:12
2025-10-19,3976,104,3038,0.09,91.06,2025-10-19 00:01:36,2025-10-19 23:58:27
2025-10-18,2294,94,1632,0.05,91.11,2025-10-18 00:02:06,2025-10-18 23:59:32
2025-10-17,71262,90,19464,1.69,92.8,2025-10-17 00:00:00,2025-10-17 23:58:47
2025-10-16,162874,95,83266,3.87,96.67,2025-10-16 00:00:00,2025-10-16 23:59:58
2025-10-15,115924,85,108153,2.75,99.43,2025-10-15 00:03:35,2025-10-15 23:59:59
2025-10-14,1089,88,936,0.03,99.45,2025-10-14 00:04:44,2025-10-14 23:54:12
2025-10-13,1295,87,1143,0.03,99.49,2025-10-13 00:00:48,2025-10-13 23:59:29
2025-10-12,1061,74,966,0.03,99.51,2025-10-12 00:00:43,2025-10-12 23:50:22
2025-10-11,983,75,889,0.02,99.53,2025-10-11 00:00:24,2025-10-11 23:59:31
2025-10-10,1040,70,901,0.02,99.56,2025-10-10 00:01:29,2025-10-10 23:59:24
2025-10-09,1022,69,872,0.02,99.58,2025-10-09 00:00:59,2025-10-09 23:56:43
2025-10-08,827,70,705,0.02,99.6,2025-10-08 00:00:25,2025-10-08 23:59:15
2025-10-07,824,64,694,0.02,99.62,2025-10-07 00:03:55,2025-10-07 23:59:55
2025-10-06,700,64,634,0.02,99.64,2025-10-06 00:02:22,2025-10-06 23:56:27
2025-10-05,671,59,627,0.02,99.65,2025-10-05 00:00:25,2025-10-05 23:49:26
2025-10-04,531,52,471,0.01,99.67,2025-10-04 00:07:56,2025-10-04 23:57:11
2025-10-03,533,52,491,0.01,99.68,2025-10-03 00:01:37,2025-10-03 23:38:44
2025-10-02,478,52,430,0.01,99.69,2025-10-02 00:04:36,2025-10-02 23:50:51
