order_date,return_recency,total_records,distinct_return_dates,total_retailers,pct_of_old_orders
2025-11-12,No return,52197,0,153,7.89
2025-11-12,Recent return (last 3 months),3207,8,319,0.48
2025-11-11,No return,29731,0,148,4.5
2025-11-11,Recent return (last 3 months),2781,9,350,0.42
2025-11-10,No return,20133,0,147,3.04
2025-11-10,Recent return (last 3 months),2197,10,318,0.33
2025-11-09,No return,15534,0,133,2.35
2025-11-09,Recent return (last 3 months),2186,11,334,0.33
2025-11-08,No return,12450,0,137,1.88
2025-11-08,Recent return (last 3 months),2088,10,335,0.32
2025-11-07,No return,10367,0,138,1.57
2025-11-07,Recent return (last 3 months),1856,13,325,0.28
2025-11-06,No return,9383,0,132,1.42
2025-11-06,Recent return (last 3 months),1692,14,329,0.26
2025-11-05,No return,5756,0,127,0.87
2025-11-05,Recent return (last 3 months),1728,15,328,0.26
2025-11-04,No return,4937,0,121,0.75
2025-11-04,Recent return (last 3 months),1457,15,298,0.22
2025-11-03,No return,4648,0,128,0.7
2025-11-03,Recent return (last 3 months),1278,16,305,0.19
2025-11-02,No return,5119,0,115,0.77
2025-11-02,Recent return (last 3 months),1256,18,290,0.19
2025-11-01,No return,4407,0,120,0.67
2025-11-01,Recent return (last 3 months),1182,18,263,0.18
2025-10-31,No return,6024,0,108,0.91
2025-10-31,Recent return (last 3 months),1352,18,269,0.2
2025-10-30,No return,6965,0,120,1.05
2025-10-30,Recent return (last 3 months),1726,20,256,0.26
2025-10-29,No return,6385,0,109,0.97
2025-10-29,Recent return (last 3 months),1896,22,249,0.29
2025-10-28,No return,3654,0,111,0.55
2025-10-28,Recent return (last 3 months),858,22,237,0.13
2025-10-27,No return,20397,0,107,3.08
2025-10-27,Recent return (last 3 months),693,24,228,0.1
2025-10-26,No return,3264,0,92,0.49
2025-10-26,Recent return (last 3 months),645,23,216,0.1
2025-10-25,No return,3027,0,94,0.46
2025-10-25,Recent return (last 3 months),557,24,187,0.08
2025-10-24,No return,3446,0,107,0.52
2025-10-24,Recent return (last 3 months),505,25,189,0.08
2025-10-23,No return,7407,0,114,1.12
2025-10-23,Recent return (last 3 months),923,27,247,0.14
2025-10-22,No return,4294,0,113,0.65
2025-10-22,Recent return (last 3 months),437,27,178,0.07
2025-10-21,No return,4805,0,123,0.73
2025-10-21,Recent return (last 3 months),485,30,210,0.07
2025-10-20,No return,3348,0,113,0.51
2025-10-20,Recent return (last 3 months),369,31,153,0.06
2025-10-19,No return,3722,0,98,0.56
2025-10-19,Recent return (last 3 months),254,29,118,0.04
2025-10-18,No return,2070,0,88,0.31
2025-10-18,Recent return (last 3 months),224,30,106,0.03
2025-10-17,No return,71022,0,84,10.74
2025-10-17,Recent return (last 3 months),240,32,119,0.04
2025-10-16,No return,162679,0,91,24.6
2025-10-16,Recent return (last 3 months),195,31,97,0.03
2025-10-15,No return,115719,0,78,17.5
2025-10-15,Recent return (last 3 months),205,31,97,0.03
2025-10-14,No return,954,0,82,0.14
2025-10-14,Recent return (last 3 months),135,27,77,0.02
2025-10-13,No return,1118,0,84,0.17
2025-10-13,Recent return (last 3 months),177,32,90,0.03
2025-10-12,No return,943,0,68,0.14
2025-10-12,Recent return (last 3 months),118,30,66,0.02
2025-10-11,No return,864,0,66,0.13
2025-10-11,Recent return (last 3 months),119,28,65,0.02
2025-10-10,No return,913,0,66,0.14
2025-10-10,Recent return (last 3 months),127,26,59,0.02
2025-10-09,No return,906,0,64,0.14
2025-10-09,Recent return (last 3 months),116,27,57,0.02
2025-10-08,No return,722,0,68,0.11
2025-10-08,Recent return (last 3 months),105,23,45,0.02
2025-10-07,No return,701,0,59,0.11
2025-10-07,Recent return (last 3 months),123,26,52,0.02
2025-10-06,No return,611,0,62,0.09
2025-10-06,Recent return (last 3 months),89,22,47,0.01
2025-10-05,No return,588,0,55,0.09
2025-10-05,Recent return (last 3 months),83,23,40,0.01
2025-10-04,No return,495,0,49,0.07
2025-10-04,Recent return (last 3 months),36,18,26,0.01
2025-10-03,No return,483,0,50,0.07
2025-10-03,Recent return (last 3 months),50,25,29,0.01
2025-10-02,No return,437,0,48,0.07
2025-10-02,Recent return (last 3 months),41,16,25,0.01
2025-10-01,No return,452,0,50,0.07
2025-10-01,Recent return (last 3 months),39,20,30,0.01
2025-09-30,No return,430,0,45,0.07
2025-09-30,Recent return (last 3 months),35,14,22,0.01
2025-09-29,No return,479,0,49,0.07
2025-09-29,Recent return (last 3 months),48,15,25,0.01
2025-09-28,No return,486,0,43,0.07
2025-09-28,Recent return (last 3 months),32,12,19,0.0
2025-09-27,No return,538,0,44,0.08
2025-09-27,Recent return (last 3 months),33,14,22,0.0
2025-09-26,No return,698,0,41,0.11
2025-09-26,Recent return (last 3 months),114,22,28,0.02
2025-09-25,No return,455,0,39,0.07
2025-09-25,Recent return (last 3 months),23,6,11,0.0
2025-09-24,No return,359,0,42,0.05
2025-09-24,Recent return (last 3 months),12,9,11,0.0
